model,seed,scan_stages,num_DA_LC_blocks,num_standard_SS2D_blocks,num_early_conv_blocks,params_m,gflops,P,R,mAP50,mAP50_95,mean_latency_ms,latency_sd_ms,P50_ms,P90_ms,P95_ms,P99_ms,processing_fps,deadline_miss_rate,inference_ms,peak_memory_allocated_mib,peak_memory_reserved_mib
YOLO26s,0,none,0,0,4,9.950186,22.5073152,0.6328948637554875,0.6430714515148019,0.672086891997956,0.46706749455367935,9.619704830189043,0.3078403264717962,,,14.94587931668813,18.954183483328197,104.02309628865775,0.0,7.783562300707918,87.47265625,118.0
BAC-SSM-YOLO full,0,"P2,P3,P4,P5,P5-context,P4-neck",6,0,0,5.342903,15.313957600000002,0.6474399736734426,0.6505797001824254,0.6847680098028484,0.48052034095406776,16.814205115188717,0.38437271390185596,,,21.47536286641601,27.591756843054696,59.47352212901659,0.07861635220125787,15.093933902947315,355.8447265625,428.0
BAC-SSM-YOLO-RT-P45,0,"P4/C4,P5/C5",2,not_reported,0,5.320331,15.2054392,0.6416154699608712,0.6566334184599069,0.6758134906411993,0.47359622569097426,15.60861559274519,0.22255455167340432,,,19.18521571600043,26.996676102559526,64.06718097822815,0.0,13.894037333304093,294.23583984375,340.0
BAC-SSM-YOLO-RT-NoEarly,0,"P4/C4,P5/C5,P5-context,P4-neck",4,not_reported,0,5.333813,15.2213112,0.6464307271489164,0.6567212772790549,0.6811799375349219,0.4753617917267939,16.561649378235295,0.17296122155982493,,,23.95702133083735,34.786521036779334,60.38045952803245,1.8867924528301887,14.845231698578893,294.29052734375,340.0
BAC-SSM-YOLO-RT-ConvEarly,0,"P4/C4,P5/C5,P5-context,P4-neck",4,0,2,4.905873,8.672152800000001,0.6035953621749711,0.6107636662854206,0.6322857469342558,0.42366539590864044,14.323516930394877,0.8957913530204398,12.745177500012991,19.556694233445647,24.31656736625882,29.92465427659528,69.81525590813342,0.2358490566037736,12.6470928726636,79.6044921875,106.0
