index,filename,preprocess_ms,host_to_device_ms,inference_ms,postprocess_ms,output_to_cpu_ms,processing_total_ms,deadline_missed,num_detections
1,0001003.png,0.9917079951264895,0.2667840017238632,14.628713994170539,0.3685749979922548,0.06686800043098629,16.368648000934627,0,5
2,0001020.png,1.0911989957094193,0.23035499907564372,13.60990600369405,0.3832020011032,0.06480099546024576,15.432369000336621,0,1
3,0001023.png,1.1085660007665865,0.224938994506374,13.549231000069994,0.34230700111947954,0.06540899630635977,15.338631004851777,0,7
4,0001031.png,1.1013410039595328,0.2462880001985468,13.690608000615612,0.4522820017882623,0.07245600136229768,15.613748000760097,0,4
5,0001043.png,1.1020579986507073,0.3185539972037077,14.099141000770032,0.3517580043990165,0.06454899994423613,15.97605699498672,0,4
6,0001047.png,1.074116000381764,0.23664400214329362,13.661682001838926,0.34716600202955306,0.062296996475197375,15.434411994647235,0,6
7,0001052.png,0.8649380033602938,0.22153199824970216,13.536828999349382,0.33518700365675613,0.06476999988080934,15.07194899750175,0,11
8,0001053.png,0.826734998554457,0.22173999605001882,14.29969599848846,0.36541699955705553,0.06680299702566117,15.822280998690985,0,5
9,0001054.png,0.8918410021578893,0.2314970042789355,13.277368001581635,0.3242739985580556,0.058254998293705285,14.833961002295837,0,1
10,0001060.png,0.807363998319488,0.20411900186445564,13.250696996692568,0.35725400084629655,0.06377799581969157,14.720183004101273,0,2
11,0001068.png,0.8654600023874082,0.22955100575927645,13.236897000751924,0.3758930033654906,0.06440599827328697,14.819144998909906,0,5
12,0001071.png,0.8580229987273924,0.23847199918236583,13.97231400187593,0.3703719994518906,0.06279700028244406,15.5414360051509,0,3
13,0001072.png,0.8698410019860603,0.26544999855104834,13.680140997166745,0.3640380018623546,0.06354500510497019,15.284241002518684,0,3
14,0001073.png,0.9220279971486889,0.2681460027815774,13.860229999409057,0.35316900175530463,0.06363099964801222,15.511037003307138,0,9
15,0001074.png,0.7994240004336461,0.2312400029040873,14.241074000892695,0.4089639987796545,0.06880499859107658,15.793462000146974,0,1
16,0001083.png,0.8801160001894459,0.25567199918441474,14.061485999263823,0.3702019967022352,0.06722800026182085,15.678812000260223,0,4
17,0001085.png,0.9058089999598451,0.24140800087479874,14.233927002351265,0.4644430009648204,0.09177700121654198,15.984933001163881,0,3
18,0001086.png,0.9383120050188154,0.3210869981558062,14.287846999650355,0.35624900192487985,0.06392200157279149,16.020647002733313,0,12
19,0001088.png,0.854867001180537,0.22842300677439198,13.463466995744966,0.3600160052883439,0.06797999958507717,15.035720003652386,0,1
20,0002015.png,0.8872510006767698,0.22561200603377074,13.252775999717414,0.3630919964052737,0.06618699990212917,14.844801000435837,0,3
21,0002037.png,0.9802339991438203,0.2516310050850734,13.854518998414278,0.3855420000036247,0.08412000170210376,15.608686000632588,0,2
22,0002040.png,0.9881649966700934,0.23683699691900983,13.696383997739758,0.3580169941415079,0.06436300463974476,15.396718001284171,0,2
23,0002043.png,1.0264410011586733,0.27140699967276305,14.162778003083076,0.3698539949255064,0.06617100007133558,15.948250002111308,0,1
24,0002045.png,0.9824899971135892,0.23473599867429584,13.44077199610183,0.345603002642747,0.0622060033492744,15.117342001758516,0,8
25,0002046.png,0.9490680022281595,0.22034599533071741,13.204543000028934,0.35906700213672593,0.06547900557052344,14.848967002762947,0,3
26,0002049.png,0.9846130051300861,0.23586000315845013,14.148728005238809,0.3599199990276247,0.0662989987176843,15.845874004298821,0,9
27,0002061.png,0.871876000019256,0.2358839992666617,13.363846999709494,0.35788600507657975,0.06325700087472796,14.944412003387697,0,19
28,0002065.png,0.898377998964861,0.23860600049374625,13.926054998592008,0.4474159941310063,0.07753300451440737,15.631005000614095,0,6
29,0002075.png,0.9474120015511289,0.28358200506772846,16.913018997001927,0.39611499960301444,0.06686399865429848,18.663304996152874,0,4
30,00030001.png,0.926781001908239,0.2746379977907054,16.802016994915903,0.4399980025482364,0.08059800165938213,18.582031996629667,0,15
31,00030004.png,1.0393630000180565,0.31033300183480605,16.215973999351263,0.43607200495898724,0.08029599848669022,18.143339002563152,0,1
32,00030006.png,1.074074003554415,0.31917700107442215,16.38485400326317,0.4195419969619252,0.07641199772479013,18.333915002585854,0,4
33,00030015.png,1.295540998398792,0.41627099562902004,14.82663799833972,0.39546699554193765,0.06743099947925657,17.08681500167586,0,5
34,00030016.png,0.9363719946122728,0.27065900212619454,13.695898000150919,0.41391300328541547,0.06975100404815748,15.437408001162112,0,7
35,00030017.png,0.9605279992683791,0.25493499560980126,13.838797000062186,0.3854349997709505,0.06880599539726973,15.563351000309922,0,1
36,0006002.png,1.0182149999309331,0.25539899797877297,13.628759996208828,0.3803100044024177,0.06490400119218975,15.392611996503547,0,7
37,0006013.png,0.9972529951483011,0.23507599689764902,13.761791997239925,0.7412289996864274,0.11372099834261462,15.896208002232015,0,19
38,0008009.png,0.796271997387521,0.31827099883230403,19.941079001000617,0.3531179972924292,0.057962999562732875,21.504178999748547,0,6
39,0008034.png,0.8581509973737411,0.23151300410972908,13.562836997152772,0.37903700285824016,0.06395400123437867,15.139449998969212,0,3
40,0009007.png,0.9886020052363165,0.2309299961780198,13.947514999017585,0.35767100052908063,0.06566700176335871,15.646416999516077,0,3
41,0009020.png,0.9548710004310124,0.23666899505769834,13.695939000172075,0.35464000393403694,0.06015800317982212,15.354446004494093,0,5
42,0009028.png,0.977265000983607,0.2397110001766123,13.99814700562274,0.3624820019467734,0.06363200373016298,15.69548599945847,0,3
43,0009029.png,1.01520300086122,0.22509600239573047,12.916097002744209,0.3640930008259602,0.06533799751196057,14.636342995800078,0,1
44,0009030.png,0.9256659977836534,0.21973099501337856,13.154189997294452,0.3474609984550625,0.0613349984632805,14.748374000191689,0,7
45,0009032.png,0.8652799951960333,0.23539399990113452,13.677565002581105,0.38761599716963246,0.06361999840009958,15.274671000952367,0,11
46,0009036.png,0.8377400008612312,0.2613120013847947,13.621911995869596,0.35521999961929396,0.06263799878070131,15.185657997790258,0,22
47,0009045.png,1.046204000886064,0.22011099645169452,13.001177998376079,0.35269300133222714,0.0653669994790107,14.737607998540625,0,4
48,0009053.png,1.069347999873571,0.2215610002167523,13.309404996107332,0.368989996786695,0.06512900290545076,15.085432001797017,0,16
49,0011005.png,0.9561309998389333,0.2507820026949048,13.237099003163166,0.3641099974629469,0.06357600068440661,14.92419200076256,0,11
50,0011006.png,0.861847001942806,0.23298700398299843,14.673601996037178,0.39827699947636575,0.10306699550710618,16.313069994794205,0,6
51,0011014.png,1.0120689985342324,0.29459200595738366,17.246458999579772,0.45968500489834696,0.08488999446853995,19.153991997882258,0,8
52,0011016.png,1.0813139961101115,0.29100399842718616,19.13364799838746,0.6012070007272996,0.07903599907876924,21.25220299785724,0,10
53,0011022.png,1.1256930010858923,0.2726239981711842,14.464022002357524,0.38710499939043075,0.07293900125660002,16.376146995753516,0,9
54,0011025.png,0.9943389959516935,0.256607003393583,14.814259993727319,0.3971640035160817,0.06884600588819012,16.58646400028374,0,10
55,0011026.png,0.9359440009575337,0.22692399943480268,13.37469500140287,0.49468199722468853,0.0741159965400584,15.178196998022031,0,8
56,0011031.png,0.9234249955625273,0.2586310001788661,13.633916998514906,0.36856200313195586,0.25593300233595073,15.483422997931484,0,2
57,0011034.png,1.0916030005319044,0.3359359980095178,13.356289004150312,0.3305300051579252,0.12008499470539391,15.399218995298725,0,16
58,0011036.png,1.2301239985390566,0.31361100263893604,13.332155001990031,0.3254730036132969,0.05897099617868662,15.319882004405372,0,19
59,0012002.png,1.2149289977969602,0.3639290007413365,13.711528001294937,0.3381629940122366,0.0615820026723668,15.76834900333779,0,2
60,0012003.png,1.1189389988430776,0.30065600003581494,13.733092993788887,0.5094760053907521,0.08184400212485343,15.803905000211671,0,4
61,0012005.png,1.1295539952698164,0.27801800024462864,13.539002000470646,0.3497500001685694,0.06243700045160949,15.409512998303398,0,4
62,0012006.png,0.9018619966809638,0.22976599575486034,13.096167996991426,0.3335779983899556,0.08416299533564597,14.695281999593135,0,16
63,0012008.png,0.9980280010495335,0.27421100094215944,13.415055997029413,0.3424539972911589,0.05714800499845296,15.136364003410563,0,10
64,0012011.png,0.9230330033460632,0.2413889960735105,13.56618200225057,0.35138199746143073,0.059986996348015964,15.185591000772547,0,5
65,0013002.png,0.9138640016317368,0.23593399964738637,12.861094997788314,0.3276069983257912,0.06539899914059788,14.453541996772401,0,1
66,0013003.png,0.6875039980513975,0.21551599638769403,12.971996002306696,0.37955199513817206,0.06240000220714137,14.354330000060145,0,4
67,0013008.png,0.8159799981513061,0.2213159968960099,13.995342000271194,0.3942719995393418,0.06649400165770203,15.535632999672089,0,4
68,0013012.png,0.8527230020263232,0.218131004658062,13.597798999398947,0.3591540007619187,0.06366699381032959,15.131430998735595,0,5
69,0013021.png,0.9070329979294911,0.24072199448710307,13.405072000750806,0.36655199801316485,0.0743489945307374,15.04155599832302,0,4
70,0014011.png,1.008106002700515,0.2340889986953698,13.395681002293713,0.3462549939285964,0.05928499740548432,15.083931000845041,0,2
71,0014017.png,0.9282809987780638,0.2244850038550794,13.130367995472625,0.3487839931040071,0.06286199641181156,14.739511003426742,0,3
72,0014020.png,0.8946679954533465,0.21898099657846615,13.38588900398463,0.3788319954765029,0.07104999531293288,14.989101997343823,0,4
73,0014023.png,0.9495809936197475,0.26941999385599047,13.95397799933562,0.3620169954956509,0.06218600174179301,15.651711997634266,0,3
74,0014029.png,0.9006209947983734,0.27043699810747057,13.462515002174769,0.5233940028119832,0.07053700392134488,15.269097006239463,0,5
75,0015004.png,1.003433993901126,0.2524820010876283,13.616928998089861,0.38671200309181586,0.06323900015559047,15.372151996416505,0,8
76,0015006.png,0.8235819987021387,0.26217199774691835,13.224066999100614,0.36042700230609626,0.06151999696157873,14.779088000068441,0,30
77,0015013.png,0.9606790044927038,0.26256300043314695,13.111815998854581,0.37816999974893406,0.06233600288396701,14.818932999332901,0,8
78,0016002.png,0.8100130071397871,0.23250700178323314,14.137555997876916,0.37434000114444643,0.06585999653907493,15.657661999284755,0,6
79,0016006.png,0.93117499636719,0.23380399943562225,14.787743995839264,0.36795400228584185,0.06440899596782401,16.43607599544339,0,4
80,0016007.png,0.8890850003808737,0.23194800451165065,13.632472000608686,0.3531339971232228,0.05880700337002054,15.215909996186383,0,8
81,0016009.png,0.8565329990233295,0.222183000005316,13.73994300229242,0.3814930023509078,0.07155899947974831,15.31277200410841,0,8
82,0016014.png,0.9558489982737228,0.2714669972192496,15.100910000910517,0.38377800228772685,0.07196799560915679,16.833915004099254,0,6
83,0016015.png,0.8027279982343316,0.25526100216666237,13.812377001158893,0.35172699426766485,0.06446400220738724,15.329852998547722,0,4
84,0016017.png,0.8482530029141344,0.22417199943447486,13.397033995715901,0.3318650051369332,0.061607999668922275,14.91454399365466,0,4
85,0020006.png,0.9501390013610944,0.2131489964085631,13.373460002185311,0.3438400017330423,0.06322299304883927,14.980752996052615,0,9
86,0022008.png,0.9859900019364432,0.23302400222746655,13.297479999891948,0.3962640039389953,0.06338600360322744,15.024453998194076,0,15
87,0022010.png,0.9234190001734532,0.2570139986346476,13.431318002403714,0.3619470007834025,0.061843995354138315,15.078320997417904,0,8
88,0022030.png,1.001172000542283,0.23935100034577772,13.384874997427687,0.3301530014141463,0.060637001297436655,15.060195000842214,0,5
89,0022039.png,0.8841740054776892,0.22320100106298923,13.448022997181397,0.36524100141832605,0.06671000301139429,15.03365899407072,0,7
90,0023007.png,0.955873001657892,0.2452489934512414,13.158373003534507,0.36765600088983774,0.07166399882407859,14.841650001471862,0,6
91,0023014.png,1.056072003848385,0.21969999943394214,13.033180999627803,0.3690470039146021,0.07272200309671462,14.79628800007049,0,3
92,0024022.png,0.9870810026768595,0.2831659949151799,13.657997005793732,0.378063996322453,0.07062499935273081,15.42146599967964,0,6
93,0024038.png,0.9181060013361275,0.2575819962657988,13.55247699393658,0.3629610000643879,0.06678999488940462,15.204340001218952,0,35
94,0024047.png,0.9610900015104562,0.26022100064437836,13.504356000339612,0.3957699955208227,0.07176899816840887,15.24532799521694,0,17
95,0024054.png,0.9811889976845123,0.2704740036278963,13.676536000275519,0.3486519999569282,0.06343300628941506,15.39328700164333,0,7
96,0024061.png,1.1013440016540699,0.2596159974928014,13.372488996537868,0.40706699655856937,0.07618399831699207,15.267735005181748,0,11
97,0025003.png,1.0745190011220984,0.37678599619539455,13.837389000400435,0.375887997506652,0.06974099960643798,15.78446700295899,0,11
98,0025006.png,1.1406260018702596,0.2718209943850525,13.67098699847702,0.3597489994717762,0.06568400567630306,15.55421400553314,0,6
99,0025013.png,0.961785000981763,0.2598610008135438,13.431097999273334,0.3777660022024065,0.06695200136164203,15.147783000429627,0,4
100,0025016.png,0.9128700039582327,0.28064400248695165,13.64529799320735,0.37561899807769805,0.09112199768424034,15.350095003668685,0,10
101,0025017.png,0.9600850025890395,0.3208170019206591,14.089899996179156,0.3606309983297251,0.06469800428021699,15.842895001696888,0,9
102,0025024.png,0.9880740035441704,0.2799040012178011,13.435151995508932,0.34968899853993207,0.06410599598893896,15.167155004746746,0,9
103,0025034.png,0.8876060019247234,0.24729000142542645,13.061630001175217,0.3457489947322756,0.06308499723672867,14.646037001512013,0,9
104,0026005.png,1.0964399989461526,0.27824100106954575,14.128099996014498,0.3932530016754754,0.07069199637044221,16.01474299968686,0,12
105,0026012.png,1.0744140017777681,0.2706519953790121,14.491103000182193,0.34778800181811675,0.06571699486812577,16.30377500259783,0,14
106,0026013.png,1.104501003283076,0.27590300305746496,14.350494006066583,0.37351799983298406,0.06492900138255209,16.2254809984006,0,14
107,0100017.png,0.9551410039421171,0.2538379994803108,13.783834998321254,0.3685460033011623,0.06919599400134757,15.47339099488454,0,11
108,0100021.png,0.99758300348185,0.2705189981497824,13.867216999642551,0.37945000076433644,0.06139399920357391,15.617233999364544,0,7
109,0100022.png,0.9667310005170293,0.25132799783023074,13.142406998667866,0.35304599441587925,0.05788199632661417,14.813080000749324,0,15
110,0100030.png,0.9407079996890388,0.25233100313926116,13.458872002956923,0.35639500129036605,0.0624169988441281,15.117081005882937,0,4
111,0100041.png,0.9127049997914582,0.254020000284072,13.242446002550423,0.36443899443838745,0.0667610001983121,14.892825995048042,0,4
112,0100056.png,0.9391540006618015,0.24867399770300835,12.753515002259519,0.334513999405317,0.06153400317998603,14.376202001585625,0,2
113,0100057.png,0.9249409995391034,0.2492319981683977,14.391431999683846,0.44871999853057787,0.0755440050852485,16.137972997967154,0,2
114,0100059.png,1.0068439951282926,0.2703970021684654,16.20412999909604,0.3834410017589107,0.07318500138353556,17.99123900127597,0,6
115,0100067.png,0.8527550016879104,0.26181100110989064,13.787445001071319,0.36137500137556344,0.06200799543876201,15.370695997262374,0,4
116,0100073.png,0.915003998670727,0.26227299531456083,13.750489000813104,0.37309800245566294,0.06476799899246544,15.415449001011439,0,4
117,0100074.png,0.8830149963614531,0.2863909976440482,13.332866001292132,0.35602600109996274,0.06273799954215065,14.962693996494636,0,4
118,0100075.png,0.9088799997698516,0.2717850002227351,15.399429998069536,0.49994599976344034,0.095290997705888,17.225541996594984,0,4
119,0100083.png,1.1365600003045984,0.4035140009364113,16.85920599993551,0.38307499926304445,0.06720800593029708,18.936701999336947,0,4
120,0101008.png,1.0806520003825426,0.27390300238039345,13.697251997655258,0.35011400177609175,0.06253999890759587,15.506990996073,0,7
121,0101018.png,1.0742329977802,0.26963200070895255,13.587307003035676,0.36048000038135797,0.06224400567589328,15.406391001306474,0,6
122,0101020.png,1.0533090026001446,0.2660490063135512,13.412938002147712,0.37448600050993264,0.06603899964829907,15.226267001708038,0,7
123,0101022.png,1.060618000337854,0.27619100001174957,13.474338004016317,0.35271100205136463,0.06037799903424457,15.287993002857547,0,3
124,0101032.png,0.9248219939763658,0.2567189949331805,13.221196000813507,0.3632890002336353,0.06481500167865306,14.888849000271875,0,1
125,0101056.png,1.1500900000100955,0.27179199969395995,13.592458999482915,0.37407100171549246,0.0641530059510842,15.503567999985535,0,6
126,0101058.png,1.0143709951080382,0.25066500529646873,16.234837006777525,0.41021699871635064,0.07854800060158595,18.03393200680148,0,2
127,0101071.png,0.9911890010698698,0.31030899845063686,14.419206003367435,0.396353003452532,0.06877799751237035,16.231526002229657,0,2
128,0101072.png,1.114416001655627,0.4268019984010607,15.621149002981838,0.3880240037688054,0.06497299909824505,17.699559997709002,0,5
129,0102006.png,1.2951490061823279,0.4384970015962608,14.90788799856091,0.40992499998537824,0.07070200081216171,17.205374002514873,0,2
130,0102007.png,1.0992649986292236,0.2826709969667718,14.096350998443086,0.43239099613856524,0.07176199869718403,16.040389993577264,0,2
131,0102010.png,1.158500999736134,0.36217399610904977,13.808709998556878,0.3616720059653744,0.0601559950155206,15.802560999873094,0,2
132,0102016.png,0.9305710045737214,0.2363480016356334,13.782462003291585,0.3983140049967915,0.06384400330716744,15.453214997251052,0,1
133,0102020.png,0.9313679984188639,0.266376999206841,15.099139003723394,0.6376739984261803,0.10481000208528712,17.081406003853772,0,2
134,0102025.png,0.9775119979167357,0.3381400019861758,19.023410997760948,0.3688430006150156,0.06317799852695316,20.820689998799935,0,4
135,0102032.png,1.0508189952815883,0.2602219974505715,13.35694999579573,0.34028500522254035,0.06276500062085688,15.11562099767616,0,1
136,0102033.png,1.063668001734186,0.24611200205981731,13.668568004504777,0.3750260002561845,0.08399599755648524,15.486051997868344,0,4
137,0102040.png,1.0791439999593422,0.27446600142866373,14.587281999411061,0.389572000131011,0.0669250002829358,16.44537700485671,0,1
138,0102041.png,1.0791839958983473,0.23376299941446632,13.934640999650583,0.3718349980772473,0.061758997617289424,15.724030003184453,0,2
139,0102050.png,0.9241400039172731,0.2629209993756376,13.4228280003299,0.3406819960218854,0.06273600592976436,15.05756400001701,0,2
140,0103013.png,0.9458339991397224,0.257119994785171,13.083980004012119,0.3627199985203333,0.058250996517017484,14.757281998754479,0,2
141,0103016.png,0.9497730061411858,0.24598300660727546,13.550609000958502,0.3516849974403158,0.061047998315189034,15.205410003545694,0,1
142,0103018.png,0.9185689996229485,0.25489200197625905,14.244478996261023,0.3741349937627092,0.08656299905851483,15.92857299692696,0,1
143,0103026.png,1.1444380070315674,0.2943030049209483,14.01749799697427,0.35199600097257644,0.0641250007902272,15.92185600020457,0,2
144,0103028.png,1.0409089954919182,0.250770004640799,13.436631998047233,0.35039799695368856,0.06355000368785113,15.188514000328723,0,1
145,0103036.png,0.9542990010231733,0.25080700288526714,13.595623000583146,0.4258519984432496,0.07779600127832964,15.355528004874941,0,3
146,0103042.png,1.1299580000923015,0.37909200182184577,13.483820999681484,0.3602880024118349,0.07480900239897892,15.47939900046913,0,2
147,0104011.png,1.0135050033568405,0.2725869999267161,13.284433996886946,0.3344669967191294,0.06003599992254749,15.008638001745567,0,4
148,0104012.png,1.001526994514279,0.24278400087496266,12.981831998331472,0.35854500310961157,0.06288000440690666,14.69205399916973,0,4
149,0104013.png,0.9612879948690534,0.2623609980219044,13.797178995446302,0.366319996828679,0.0665299958200194,15.503217997320462,0,2
150,0104016.png,0.8926310038077645,0.2810180012602359,14.500846998998895,0.3826870015473105,0.06886700430186465,16.179530997760594,0,4
151,0104020.png,0.9779749962035567,0.2865599963115528,13.718736001465004,0.387238003895618,0.07014299626462162,15.48787699721288,0,6
152,0104040.png,0.9422229995834641,0.24268700508400798,13.522358000045642,0.3564450016710907,0.06109300011303276,15.16590200481005,0,1
153,0104042.png,1.1540759951458313,0.34111599961761385,13.254174002213404,0.3486460045678541,0.06122799823060632,15.217064996249974,0,2
154,0104043.png,1.0299310015398078,0.2546899995650165,13.159258000086993,0.3394089944777079,0.06194199522724375,14.893432999087963,0,1
155,0105001.png,0.9719770023366436,0.26773599529406056,13.097164999635424,0.37094200524734333,0.062171995523385704,14.810685999691486,0,3
156,0105002.png,0.9624869999242947,0.248151998675894,14.053610000701156,0.36817900399910286,0.06479599687736481,15.738766996946651,0,9
157,0105007.png,0.9923830002662726,0.2807260025292635,13.493441998434719,0.3615550012909807,0.0624169988441281,15.236948995152488,0,5
158,0105010.png,1.0048089970950969,0.2667939988896251,13.866861001588404,0.3963109993492253,0.09985499491449445,15.684713005612139,0,5
159,0105014.png,1.0248640028294176,0.31843300530454144,14.303228999779094,0.3900360024999827,0.07110200385795906,16.160253995622043,0,5
160,0105017.png,1.154837998910807,0.2723680008784868,13.790513999992982,0.3616760004661046,0.06363500142470002,15.699848001531791,0,1
161,0105026.png,0.9421699942322448,0.2719109979807399,13.422249001450837,0.3284900012658909,0.0603400039835833,15.066655003465712,0,4
