epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9861.76,2.52008,2.69367,0.02036,0.53819,0.61715,0.60215,0.39308,2.4026,2.40283,0.02874,0.000848969,0.000848969,0.000848969
43,10036,2.47884,2.66158,0.02016,0.57974,0.59444,0.60167,0.39642,2.38223,2.3999,0.02864,0.000834822,0.000834822,0.000834822
44,10211.6,2.47742,2.61671,0.01993,0.57591,0.60298,0.61328,0.40688,2.36268,2.33204,0.02819,0.000820675,0.000820675,0.000820675
45,10389.9,2.45636,2.60975,0.01987,0.579,0.58755,0.61408,0.40414,2.3747,2.35403,0.02841,0.000806528,0.000806528,0.000806528
46,10561.3,2.46996,2.59746,0.01981,0.5823,0.60659,0.6172,0.40573,2.3562,2.35347,0.02805,0.00079238,0.00079238,0.00079238
47,10732.1,2.39465,2.51011,0.01932,0.58644,0.61614,0.61974,0.40806,2.36243,2.32477,0.02803,0.000778233,0.000778233,0.000778233
48,10909.7,2.40471,2.51791,0.01928,0.58749,0.61864,0.63008,0.41599,2.32145,2.30197,0.02762,0.000764086,0.000764086,0.000764086
49,11085.4,2.39765,2.50905,0.01916,0.58623,0.62127,0.62274,0.41046,2.33703,2.29012,0.02774,0.000749939,0.000749939,0.000749939
50,11254.7,2.40091,2.49261,0.01915,0.5956,0.59672,0.61501,0.40884,2.33778,2.30995,0.02778,0.000735792,0.000735792,0.000735792
51,11423.4,2.37105,2.44331,0.01895,0.59263,0.6187,0.62201,0.4128,2.33645,2.28155,0.02786,0.000721645,0.000721645,0.000721645
52,11591.7,2.35858,2.42294,0.01855,0.60536,0.61031,0.63029,0.41973,2.31789,2.2317,0.02756,0.000707498,0.000707498,0.000707498
53,11767.9,2.3478,2.40063,0.01841,0.581,0.62474,0.62915,0.41993,2.30006,2.25593,0.02727,0.000693351,0.000693351,0.000693351
54,11942.3,2.35396,2.42158,0.01858,0.58174,0.61223,0.62471,0.41688,2.29483,2.27126,0.02724,0.000679204,0.000679204,0.000679204
