epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7501.85,2.54495,2.67318,0.02059,0.56468,0.6044,0.60649,0.39437,2.40032,2.36789,0.02902,0.000848969,0.000848969,0.000848969
43,7673.4,2.48992,2.60887,0.02032,0.57112,0.62097,0.61649,0.40289,2.41182,2.35343,0.02915,0.000834822,0.000834822,0.000834822
44,7855.35,2.4864,2.59356,0.02003,0.57551,0.61629,0.62621,0.4116,2.37146,2.33739,0.02816,0.000820675,0.000820675,0.000820675
45,8031.96,2.46843,2.59882,0.02,0.56395,0.61718,0.61726,0.40694,2.38076,2.32908,0.02869,0.000806528,0.000806528,0.000806528
46,8200.67,2.48318,2.56379,0.02,0.54482,0.63807,0.6149,0.4025,2.40274,2.38677,0.02905,0.00079238,0.00079238,0.00079238
47,8374.83,2.42354,2.50349,0.01966,0.58003,0.6081,0.62269,0.41019,2.36861,2.32254,0.02858,0.000778233,0.000778233,0.000778233
48,8547.51,2.4272,2.49714,0.01954,0.57542,0.61906,0.62001,0.41187,2.36843,2.29019,0.02847,0.000764086,0.000764086,0.000764086
49,8728.16,2.40379,2.49423,0.01928,0.5896,0.60788,0.62196,0.40948,2.36159,2.3078,0.02867,0.000749939,0.000749939,0.000749939
50,8897.91,2.4176,2.48112,0.01938,0.58821,0.61229,0.62615,0.41641,2.33877,2.28167,0.02802,0.000735792,0.000735792,0.000735792
51,9083.68,2.38613,2.41678,0.01916,0.59303,0.63735,0.63947,0.42574,2.35281,2.23438,0.02843,0.000721645,0.000721645,0.000721645
52,9266.47,2.37736,2.40327,0.01875,0.59355,0.6381,0.64427,0.42633,2.34082,2.26707,0.02795,0.000707498,0.000707498,0.000707498
53,9446.35,2.35722,2.38618,0.01854,0.60969,0.63054,0.64406,0.4277,2.32429,2.26423,0.02768,0.000693351,0.000693351,0.000693351
54,9619.24,2.37084,2.38739,0.0188,0.59366,0.63585,0.64692,0.43054,2.32504,2.22006,0.02794,0.000679204,0.000679204,0.000679204
55,9804.37,2.33845,2.38403,0.01883,0.5937,0.62667,0.63561,0.42646,2.29825,2.24052,0.02738,0.000665057,0.000665057,0.000665057
56,9973.56,2.3323,2.36595,0.01852,0.60287,0.61223,0.64243,0.4294,2.2948,2.22539,0.02735,0.000650909,0.000650909,0.000650909
57,10149.1,2.31712,2.31392,0.01842,0.6216,0.6255,0.6481,0.43479,2.28567,2.20538,0.02731,0.000636762,0.000636762,0.000636762
58,10321.6,2.30861,2.2951,0.01824,0.62871,0.62128,0.64494,0.43689,2.27927,2.20271,0.02713,0.000622615,0.000622615,0.000622615
59,10494.2,2.29198,2.28942,0.0182,0.61326,0.63924,0.65054,0.43395,2.31273,2.18264,0.02778,0.000608468,0.000608468,0.000608468
60,10661.8,2.29957,2.25562,0.01812,0.62925,0.62509,0.65312,0.4437,2.26574,2.17199,0.02693,0.000594321,0.000594321,0.000594321
61,10832.8,2.2834,2.25409,0.01781,0.62186,0.63869,0.65769,0.44685,2.25365,2.16422,0.02681,0.000580174,0.000580174,0.000580174
62,11005,2.2595,2.25469,0.01799,0.60714,0.64415,0.657,0.45008,2.24195,2.15254,0.0267,0.000566027,0.000566027,0.000566027
63,11187,2.24906,2.21437,0.01763,0.61963,0.64543,0.66229,0.45263,2.2408,2.13123,0.02673,0.00055188,0.00055188,0.00055188
