model,seed,scan_stages,num_DA_LC_blocks,params_m,gflops,P,R,mAP50,mAP50_95,mean_latency_ms,latency_sd_ms,P95_ms,P99_ms,processing_fps,deadline_miss_rate,inference_ms,peak_memory_allocated_mib,peak_memory_reserved_mib
YOLO26s,0,none,0,9.950186,22.5073152,0.6328948637554875,0.6430714515148019,0.672086891997956,0.46706749455367935,9.619704830189043,0.3078403264717962,14.94587931668813,18.954183483328197,104.02309628865775,0.0,7.783562300707918,87.47265625,118.0
BAC-SSM-YOLO full,0,"P2,P3,P4,P5,P5-context,P4-neck",6,5.342903,15.313957600000002,0.6474399736734426,0.6505797001824254,0.6847680098028484,0.48052034095406776,16.814205115188717,0.38437271390185596,21.47536286641601,27.591756843054696,59.47352212901659,0.07861635220125787,15.093933902947315,355.8447265625,428.0
BAC-SSM-YOLO-RT-P45,0,"P4/C4,P5/C5",2,5.320331,15.2054392,0.6416154699608712,0.6566334184599069,0.6758134906411993,0.47359622569097426,15.60861559274519,0.22255455167340432,19.18521571600043,26.996676102559526,64.06718097822815,0.0,13.894037333304093,294.23583984375,340.0
BAC-SSM-YOLO-RT-NoP2,0,"P3/C3,P4/C4,P5/C5,P5-context,P4-neck",5,5.340554,15.2541304,0.6402865725861443,0.6670501139392676,0.6824819971378284,0.476725760457887,17.555267963432286,0.3186246697567178,26.749324382763003,34.20631555037592,56.96295847394669,1.10062893081761,15.772903608522086,294.31787109375,340.0
BAC-SSM-YOLO-RT-NoEarly,0,"P4/C4,P5/C5,P5-context,P4-neck",4,5.333813,15.2213112,0.6464307271489164,0.6567212772790549,0.6811799375349219,0.4753617917267939,16.561649378235295,0.17296122155982493,23.95702133083735,34.786521036779334,60.38045952803245,1.8867924528301887,14.845231698578893,294.29052734375,340.0
