epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6798.17,2.76558,3.06673,0.02262,0.50749,0.53825,0.53009,0.33156,2.58452,2.73417,0.03136,0.000848969,0.000848969,0.000848969
43,75.4057,2.73075,3.03122,0.02228,0.49964,0.56883,0.53767,0.3347,2.5747,2.65602,0.0313,0.000834822,0.000834822,0.000834822
44,147.763,2.7008,2.97862,0.02207,0.51494,0.561,0.54431,0.34287,2.54218,2.6416,0.03084,0.000820675,0.000820675,0.000820675
45,222.082,2.69825,2.99069,0.0222,0.52435,0.54169,0.5422,0.34374,2.56291,2.7118,0.03106,0.000806528,0.000806528,0.000806528
46,289.918,2.68012,2.9615,0.02173,0.51181,0.57096,0.54405,0.34194,2.56644,2.65396,0.03088,0.00079238,0.00079238,0.00079238
47,358.227,2.66194,2.93823,0.02138,0.55212,0.54559,0.55684,0.355,2.54356,2.60001,0.03088,0.000778233,0.000778233,0.000778233
48,428.618,2.64872,2.89837,0.02183,0.52743,0.56732,0.55385,0.35143,2.55148,2.62139,0.03072,0.000764086,0.000764086,0.000764086
49,493.24,2.66024,2.91235,0.02187,0.52475,0.56256,0.55681,0.35376,2.53692,2.60705,0.0306,0.000749939,0.000749939,0.000749939
50,559.208,2.62433,2.86001,0.0214,0.55774,0.53902,0.56485,0.36316,2.50654,2.59295,0.03009,0.000735792,0.000735792,0.000735792
51,630.168,2.62591,2.83738,0.02096,0.53234,0.57913,0.57425,0.36823,2.50368,2.51211,0.03011,0.000721645,0.000721645,0.000721645
52,700.244,2.59516,2.82291,0.0214,0.54459,0.59422,0.57669,0.36754,2.49421,2.52755,0.02984,0.000707498,0.000707498,0.000707498
53,767.904,2.59143,2.77958,0.02075,0.54355,0.56533,0.57139,0.36502,2.5151,2.57043,0.03043,0.000693351,0.000693351,0.000693351
54,833.693,2.60238,2.78303,0.02073,0.53765,0.57878,0.57202,0.36527,2.49925,2.52992,0.03008,0.000679204,0.000679204,0.000679204
55,900.888,2.54467,2.72413,0.02036,0.53898,0.57669,0.57675,0.37008,2.4857,2.52497,0.02992,0.000665057,0.000665057,0.000665057
56,972.052,2.57241,2.72419,0.02076,0.57487,0.55906,0.58514,0.37687,2.45979,2.4933,0.02944,0.000650909,0.000650909,0.000650909
57,1044.46,2.54661,2.71748,0.02029,0.54483,0.59353,0.58956,0.38055,2.47302,2.45882,0.02963,0.000636762,0.000636762,0.000636762
58,1117.83,2.54802,2.68166,0.02061,0.54338,0.5791,0.58502,0.37904,2.46459,2.47472,0.02959,0.000622615,0.000622615,0.000622615
59,1183.3,2.51687,2.68513,0.02026,0.56088,0.57909,0.58946,0.38119,2.4462,2.48615,0.02924,0.000608468,0.000608468,0.000608468
60,1257.31,2.51102,2.65465,0.02001,0.54183,0.60483,0.58859,0.3844,2.44164,2.46097,0.02917,0.000594321,0.000594321,0.000594321
61,1422.78,2.52351,2.64944,0.02005,0.55793,0.59582,0.59283,0.38671,2.43255,2.46662,0.02897,0.000580174,0.000580174,0.000580174
62,1603.57,2.4713,2.61498,0.01982,0.57536,0.60842,0.59921,0.39071,2.4316,2.39949,0.02899,0.000566027,0.000566027,0.000566027
63,1786.68,2.48553,2.59273,0.01952,0.57583,0.58356,0.59815,0.39258,2.42729,2.41984,0.02891,0.00055188,0.00055188,0.00055188
64,1969.7,2.48171,2.59873,0.01988,0.57482,0.58401,0.59687,0.38936,2.43931,2.42669,0.02913,0.000537733,0.000537733,0.000537733
65,2176.84,2.46125,2.56907,0.01946,0.5728,0.59636,0.60178,0.39496,2.43297,2.41472,0.02904,0.000523586,0.000523586,0.000523586
66,2404.05,2.45251,2.53585,0.01915,0.56521,0.60693,0.60331,0.39352,2.42652,2.39996,0.02891,0.000509438,0.000509438,0.000509438
67,2622.69,2.43871,2.51226,0.01941,0.57062,0.60226,0.59992,0.39312,2.43235,2.40018,0.02918,0.000495291,0.000495291,0.000495291
68,2827.63,2.43335,2.51187,0.01928,0.5762,0.60018,0.60378,0.39592,2.41863,2.40687,0.0289,0.000481144,0.000481144,0.000481144
69,3035.23,2.4011,2.46372,0.01904,0.56511,0.62148,0.61,0.39956,2.41848,2.37874,0.02868,0.000466997,0.000466997,0.000466997
70,3236.22,2.41086,2.48131,0.01878,0.58106,0.58609,0.61064,0.39944,2.40365,2.3916,0.02854,0.00045285,0.00045285,0.00045285
71,3435.14,2.39541,2.46756,0.01903,0.58532,0.5956,0.60484,0.39994,2.40466,2.39461,0.0288,0.000438703,0.000438703,0.000438703
72,3631.25,2.39367,2.42399,0.01885,0.5662,0.62637,0.61237,0.40363,2.39223,2.36621,0.02845,0.000424556,0.000424556,0.000424556
73,3817.8,2.37772,2.413,0.0188,0.58101,0.61771,0.61209,0.40241,2.40375,2.35268,0.02862,0.000410409,0.000410409,0.000410409
74,4012.24,2.37706,2.41114,0.01858,0.58883,0.60375,0.62157,0.41088,2.38575,2.34854,0.02824,0.000396262,0.000396262,0.000396262
