epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3019.31,1.27904,1.65475,1.64173,0.49994,0.59721,0.54735,0.35053,1.20608,1.43337,1.60957,0.000848969,0.000848969,0.000848969
43,3059.96,1.26408,1.62887,1.62531,0.51387,0.59301,0.5527,0.35646,1.19062,1.41697,1.58436,0.000834822,0.000834822,0.000834822
44,3100.69,1.26334,1.63035,1.62333,0.4959,0.60658,0.54643,0.35204,1.19914,1.43647,1.59013,0.000820675,0.000820675,0.000820675
45,3135.62,1.26389,1.63578,1.62379,0.4981,0.602,0.55174,0.35678,1.18925,1.41639,1.58414,0.000806528,0.000806528,0.000806528
46,3175.73,1.26427,1.62008,1.62051,0.51775,0.5781,0.55287,0.3582,1.18338,1.41522,1.58079,0.00079238,0.00079238,0.00079238
47,3216.27,1.23874,1.59034,1.60139,0.50705,0.60721,0.55747,0.36081,1.19185,1.44764,1.58712,0.000778233,0.000778233,0.000778233
48,3253.78,1.23731,1.58556,1.59864,0.52178,0.60442,0.55782,0.36195,1.17715,1.40042,1.57649,0.000764086,0.000764086,0.000764086
49,3294.32,1.23318,1.57559,1.59464,0.51624,0.58792,0.56689,0.36724,1.17483,1.40027,1.56849,0.000749939,0.000749939,0.000749939
50,3333.5,1.2385,1.58688,1.59941,0.52168,0.58415,0.55768,0.36486,1.15889,1.39312,1.56366,0.000735792,0.000735792,0.000735792
51,3367.9,1.22428,1.55264,1.58388,0.51377,0.61114,0.56079,0.36594,1.17037,1.36358,1.55871,0.000721645,0.000721645,0.000721645
52,3402.46,1.2206,1.54948,1.57691,0.53407,0.59506,0.57808,0.38058,1.15361,1.36761,1.55225,0.000707498,0.000707498,0.000707498
53,3442.55,1.21799,1.54269,1.57644,0.53605,0.5995,0.56969,0.37147,1.16132,1.36334,1.5615,0.000693351,0.000693351,0.000693351
54,3477.65,1.21815,1.54626,1.57795,0.53609,0.62374,0.5799,0.38278,1.15477,1.34307,1.55177,0.000679204,0.000679204,0.000679204
55,3518.68,1.20824,1.54128,1.57205,0.53193,0.60958,0.57229,0.37749,1.15772,1.35341,1.55972,0.000665057,0.000665057,0.000665057
56,3554.31,1.20417,1.52346,1.56219,0.53579,0.61875,0.58135,0.38052,1.15806,1.33306,1.54335,0.000650909,0.000650909,0.000650909
57,3588.98,1.1973,1.51501,1.55392,0.53963,0.62013,0.57872,0.37865,1.14951,1.33357,1.53291,0.000636762,0.000636762,0.000636762
58,3624.1,1.19967,1.50895,1.55424,0.53376,0.62922,0.58657,0.38482,1.1451,1.31647,1.52916,0.000622615,0.000622615,0.000622615
59,3664.42,1.18745,1.49671,1.54648,0.54323,0.62279,0.59494,0.39398,1.13531,1.31177,1.52501,0.000608468,0.000608468,0.000608468
60,3702.19,1.18956,1.49234,1.54852,0.54874,0.61445,0.59279,0.39067,1.1436,1.30288,1.53362,0.000594321,0.000594321,0.000594321
61,3737.57,1.19053,1.49506,1.54435,0.53349,0.62668,0.58789,0.39015,1.14413,1.31085,1.53089,0.000580174,0.000580174,0.000580174
62,3772.81,1.17884,1.48814,1.54027,0.54942,0.63535,0.60512,0.40044,1.13277,1.29984,1.52973,0.000566027,0.000566027,0.000566027
63,3813.61,1.17206,1.47518,1.53708,0.56399,0.61313,0.6041,0.39955,1.13275,1.28268,1.527,0.00055188,0.00055188,0.00055188
64,3848.73,1.17016,1.46242,1.52942,0.56831,0.61879,0.60934,0.40293,1.14048,1.28706,1.52899,0.000537733,0.000537733,0.000537733
65,3887.57,1.16609,1.46436,1.52889,0.54606,0.63144,0.60279,0.4047,1.1285,1.28241,1.5126,0.000523586,0.000523586,0.000523586
66,3928.09,1.16219,1.44826,1.52115,0.57161,0.62396,0.61019,0.40453,1.1274,1.27608,1.51547,0.000509438,0.000509438,0.000509438
67,3963.16,1.16726,1.45127,1.51896,0.578,0.62694,0.61485,0.40859,1.12482,1.27343,1.51542,0.000495291,0.000495291,0.000495291
68,4002.97,1.14965,1.43657,1.51,0.55612,0.64057,0.61625,0.41315,1.12291,1.26719,1.51642,0.000481144,0.000481144,0.000481144
69,4041.22,1.16104,1.44398,1.51897,0.54958,0.65168,0.6151,0.40979,1.11864,1.26956,1.50977,0.000466997,0.000466997,0.000466997
70,4076.96,1.14245,1.42381,1.51032,0.56974,0.64008,0.61457,0.41304,1.11709,1.2671,1.51048,0.00045285,0.00045285,0.00045285
71,4112.75,1.13834,1.41946,1.49833,0.5538,0.63817,0.60805,0.40773,1.11678,1.26557,1.50788,0.000438703,0.000438703,0.000438703
72,4147.83,1.14256,1.42499,1.50311,0.5786,0.64261,0.61692,0.41241,1.11784,1.25551,1.50165,0.000424556,0.000424556,0.000424556
73,4182.61,1.13241,1.39017,1.49283,0.57594,0.62297,0.61558,0.41177,1.11041,1.258,1.50193,0.000410409,0.000410409,0.000410409
74,4217.38,1.1355,1.40255,1.49401,0.5541,0.64285,0.6189,0.41597,1.11539,1.25219,1.50144,0.000396262,0.000396262,0.000396262
